mm,mdd,dd,hr,Temp,VPD,"Wind speed",Precip,P,O3,LAI,HD,R,PAR
3,18,78,19,5.3,0.10701,1.38,0.01,99.19,31.707,2.91e-05,-37.93,0,0
3,18,78,20,4.94,0.09243,1.34,0.01,99.24,30.746,2.91e-05,-39.37,0,0
3,18,78,21,3.55,0.01987,1.3,0,99.3,30.369,2.91e-05,-40.8,0,0
3,18,78,22,4.25,0.07188,1.24,0,99.31,30.322,2.91e-05,-38.07,0,0
3,18,78,23,3.9,0.0643,1.18,0,99.3,30.211,2.91e-05,-35.33,0,0
3,19,79,0,3.29,0.043,1.12,0.003,99.34,29.704,2.84e-05,-32.6,0,0
3,19,79,1,3.46,0.05814,1.16,0.003,99.31,29.698,2.84e-05,-31.63,0,0
3,19,79,2,3.37,0.05901,1.19,0.003,99.32,29.973,2.84e-05,-30.67,0,0
3,19,79,3,3.38,0.06574,1.22,0.017,99.26,30.243,2.84e-05,-29.7,0,0
3,19,79,4,3.33,0.05757,1.21,0.017,99.32,30.139,2.84e-05,-29.73,0,0
3,19,79,5,3.36,0.05473,1.19,0.017,99.3,29.906,2.84e-05,-29.77,0,0
3,19,79,6,6.43,0.23697,1.18,0,99.3,29.625,2.84e-05,-29.8,0,0
3,19,79,7,4.39,0.05454,1.29,0,99.27,30.692,2.84e-05,-6.93,75.89,156.067785
3,19,79,8,5.41,0.07177,1.35,0,99.28,31.649,2.84e-05,15.93,229.17,471.288105
3,19,79,9,8.61,0.25175,1.37,0.003,99.32,32.31,2.84e-05,38.8,388.93,799.834545
3,19,79,10,7.15,0.1499,1.43,0.003,99.3,33.102,2.84e-05,53.9,500.75,1029.792375
3,19,79,11,7.88,0.20912,1.49,0.003,99.31,34.227,2.84e-05,69,573.97,1180.369305
3,19,79,12,8.62,0.27292,1.56,0,99.42,35.521,2.84e-05,84.1,606.51,1247.287815
3,19,79,13,8.6,0.2915,1.51,0,99.34,36.38,2.84e-05,78.5,591.39,1216.193535
3,19,79,14,8.61,0.31128,1.47,0,99.38,36.771,2.84e-05,72.9,531.74,1093.52331
3,19,79,15,6.58,0.18525,1.44,0.057,99.49,36.576,2.84e-05,67.3,423.82,871.58583
3,19,79,16,7.93,0.28376,1.3,0.057,99.44,35.339,2.84e-05,39.87,292.02,600.53913
3,19,79,17,7.25,0.23868,1.15,0.057,99.46,33.229,2.84e-05,12.43,135.19,278.018235
3,19,79,18,4.21,0.04261,0.88,0.013,99.75,29.457,2.84e-05,-15,0.38,0.78147
3,19,79,19,5.77,0.15099,0.8,0.013,99.55,27.359,2.84e-05,-16.17,0,0
3,19,79,20,4.98,0.11639,0.73,0.013,99.63,25.791,2.84e-05,-17.33,0,0
3,19,79,21,2.43,0,0.67,0.003,99.81,24.537,2.84e-05,-18.5,0,0
3,19,79,22,3.61,0.08247,0.64,0.003,99.76,24.175,2.84e-05,-17.53,0,0
3,19,79,23,3.02,0.07535,0.62,0.003,99.78,24.188,2.84e-05,-16.57,0,0
3,20,80,0,0.38,0,0.61,0,99.91,24.252,2.64e-05,-15.6,0,0
3,20,80,1,1.74,0.05237,0.54,0,99.83,23.432,2.64e-05,-13.5,0,0
3,20,80,2,1.05,0.03885,0.47,0,99.87,22.358,2.64e-05,-11.4,0,0
3,20,80,3,-0.63,0,0.39,0,99.95,20.807,2.64e-05,-9.3,0,0
3,20,80,4,0.04,0.02669,0.31,0,99.92,19.038,2.64e-05,-7.23,0,0
3,20,80,5,-0.3,0.02153,0.24,0,99.93,17.276,2.64e-05,-5.17,0,0
3,20,80,6,3.24,0.203,0.2,0,100.08,15.369,2.64e-05,-3.1,0,0
3,20,80,7,0.65,0.03472,0.57,0,99.98,31.853,2.64e-05,15.57,86.94,178.79211
3,20,80,8,1.94,0.08626,0.6,0,100.02,34.037,2.64e-05,34.23,249.38,512.84997
3,20,80,9,5.9,0.304,0.64,0,100.15,35.537,2.64e-05,52.9,129.35,266.008275
3,20,80,10,4.12,0.20466,0.49,0,100.1,37.326,2.64e-05,80.6,165.92,341.21448
3,20,80,11,5.01,0.26578,0.46,0,100.12,38.146,2.64e-05,108.3,189.82,390.36483
3,20,80,12,7.42,0.4236,0.6,0,100.1,38.096,2.64e-05,136,584.22,1201.44843
3,20,80,13,6.41,0.34528,0.65,0,100.14,38.134,2.64e-05,114.03,569.4,1170.9711
3,20,80,14,6.92,0.37117,0.7,0,100.12,38.256,2.64e-05,92.07,512.36,1053.66834
3,20,80,15,5.61,0.27578,0.74,0.09,100.13,38.248,2.64e-05,70.1,273.21,561.856365
3,20,80,16,6.81,0.33981,0.78,0.09,100.11,37.85,2.64e-05,43.57,189.16,389.00754
3,20,80,17,6.21,0.28433,0.85,0.09,100.12,36.967,2.64e-05,17.03,89.25,183.542625
3,20,80,18,3.49,0.09637,0.83,0.007,100.25,34.519,2.64e-05,-9.5,0.32,0.65808
3,20,80,19,4.89,0.18484,0.79,0.007,100.16,33.365,2.64e-05,-11.17,0,0
3,20,80,20,4.19,0.15104,0.74,0.007,100.2,32.18,2.64e-05,-12.83,0,0
3,20,80,21,3.36,0.11691,0.68,0.07,100.11,30.298,2.64e-05,-14.5,0,0
3,20,80,22,3.46,0.1119,0.76,0.07,100.22,29.802,2.64e-05,-13.9,0,0
3,20,80,23,3.42,0.09848,0.82,0.07,100.17,28.829,2.64e-05,-13.3,0,0
3,21,81,0,4.37,0.14251,0.87,0.023,99.9,27.37,2.77e-05,-12.7,0,0
3,21,81,1,3.72,0.08445,0.96,0.023,100.06,25.575,2.77e-05,-15.9,0,0
3,21,81,2,4.05,0.08478,1.06,0.023,99.99,23.397,2.77e-05,-19.1,0,0
3,21,81,3,4.92,0.11838,1.15,0.02,99.77,21.159,2.77e-05,-22.3,0,0
3,21,81,4,4.56,0.07857,1.2,0.02,99.87,20.77,2.77e-05,-26.03,0,0
3,21,81,5,4.75,0.07195,1.25,0.02,99.83,23.268,2.77e-05,-29.77,0,0
3,21,81,6,5.88,0.12454,1.31,0,99.8,27.211,2.77e-05,-33.5,0,0
3,21,81,7,5.24,0.07845,1.39,0,99.78,31.732,2.77e-05,-6.17,85.03,174.864195
3,21,81,8,5.56,0.09864,1.42,0,99.79,34.462,2.77e-05,21.17,231.71,476.511615
3,21,81,9,9.6,0.39311,1.41,0,99.53,35.971,2.77e-05,48.5,245.31,504.480015
3,21,81,10,7.14,0.14886,1.6,0,99.74,37.701,2.77e-05,67.17,312.92,643.51998
3,21,81,11,8.38,0.18399,1.77,0,99.65,39.793,2.77e-05,85.83,357.31,734.808015
3,21,81,12,9.59,0.22793,1.95,0,99.23,41.281,2.77e-05,104.5,268.8,552.7872
3,21,81,13,9.62,0.24345,2,0,99.46,41.246,2.77e-05,109.07,261.84,538.47396
3,21,81,14,9.62,0.25927,2.05,0,99.36,40.029,2.77e-05,113.63,235.88,485.08722
3,21,81,15,7.69,0.13117,2.1,0,98.86,38.642,2.77e-05,118.2,207.62,426.97053
3,21,81,16,8.99,0.23028,2.07,0,99.15,38.146,2.77e-05,66.37,144.57,297.308205
3,21,81,17,8.36,0.1883,2.03,0,99.02,38.49,2.77e-05,14.53,69.93,143.811045
3,21,81,18,6.03,0.03853,1.95,0.087,98.61,38.708,2.77e-05,-37.3,0.61,1.254465
3,21,81,19,7.16,0.12124,1.95,0.087,98.8,39.052,2.77e-05,-38.47,0,0
3,21,81,20,6.61,0.09225,1.94,0.087,98.72,39.958,2.77e-05,-39.63,0,0
3,21,81,21,6.64,0.10711,1.94,0.043,98.25,41.202,2.77e-05,-40.8,0,0
3,21,81,22,6.27,0.06749,1.9,0.043,98.53,42.232,2.77e-05,-35.23,0,0
3,21,81,23,6.47,0.06997,1.86,0.043,98.41,42.609,2.77e-05,-29.67,0,0
3,22,82,0,5.83,0.02162,1.82,0.527,97.78,42.063,2.78e-05,-24.1,0,0
3,22,82,1,6.41,0.05721,1.22,0.527,98.15,39.33,2.78e-05,-16.37,0,0
3,22,82,2,6.14,0.0418,0.63,0.527,97.99,34.913,2.78e-05,-8.63,0,0
3,22,82,3,5.53,0.01812,0.18,0.05,97.94,22.902,2.78e-05,-0.9,0,0
3,22,82,4,5.72,0.03752,0.28,0.05,97.82,27.991,2.78e-05,-3.53,0,0
3,22,82,5,5.62,0.04229,0.64,0.05,97.87,31.549,2.78e-05,-6.17,0,0
3,22,82,6,6.13,0.08511,1.04,0,98.29,32.141,2.78e-05,-8.8,0,0
3,22,82,7,5.7,0.05911,1.07,0,98.02,32.102,2.78e-05,12.03,105.25,216.446625
3,22,82,8,5.9,0.07688,1.05,0,98.13,32.391,2.78e-05,32.87,271.52,558.38088
3,22,82,9,8.72,0.2819,1.01,0.027,98.45,32.919,2.78e-05,53.7,398.31,819.124515
3,22,82,10,6.98,0.12574,0.98,0.027,98.33,33.494,2.78e-05,59.43,506.13,1040.856345
3,22,82,11,7.84,0.15706,0.97,0.027,98.38,34.129,2.78e-05,65.17,576.28,1185.11982
3,22,82,12,10.02,0.29689,0.97,0.047,98.48,34.755,2.78e-05,70.9,607.86,1250.06409
3,22,82,13,9.15,0.21102,0.91,0.047,98.46,34.923,2.78e-05,62.17,592.48,1218.43512
3,22,82,14,9.58,0.2297,0.87,0.047,98.47,34.821,2.78e-05,53.43,534.12,1098.41778
3,22,82,15,8.7,0.14334,0.85,0.043,98.48,34.694,2.78e-05,44.7,436.78,898.23807
3,22,82,16,9.58,0.21323,0.84,0.043,98.48,34.199,2.78e-05,26.67,306.28,629.86482
3,22,82,17,9.14,0.1799,0.82,0.043,98.48,33.13,2.78e-05,8.63,151.12,310.77828
3,22,82,18,4.58,0,0.61,0.003,98.52,28.981,2.78e-05,-9.4,4.16,8.55504
3,22,82,19,7.32,0.05359,0.41,0.003,98.49,25.485,2.78e-05,-6.33,0,0
3,22,82,20,5.95,0,0.22,0.003,98.5,20.267,2.78e-05,-3.27,0,0
3,22,82,21,4.2,0,0.03,0.003,98.47,2.978,2.78e-05,-0.2,0,0
3,22,82,22,4.46,0.0784,0.07,0.003,98.51,8.141,2.78e-05,-2.7,0,0
3,22,82,23,4.33,0.02182,0.18,0.003,98.49,14.321,2.78e-05,-5.2,0,0
3,23,83,0,4.31,0,0.33,0,98.36,18.396,2.85e-05,-7.7,0,0
3,23,83,1,4.25,0.00389,0.34,0,98.45,19.189,2.85e-05,-8.37,0,0
3,23,83,2,4.28,0.00879,0.38,0,98.41,20.741,2.85e-05,-9.03,0,0
3,23,83,3,4.15,0,0.45,0.003,98.29,22.616,2.85e-05,-9.7,0,0
3,23,83,4,4.26,0.01138,0.45,0.003,98.34,23.092,2.85e-05,-8.87,0,0
3,23,83,5,4.21,0.01575,0.46,0.003,98.32,23.146,2.85e-05,-8.03,0,0
3,23,83,6,5.73,0.11624,0.46,0.333,98.31,22.869,2.85e-05,-7.2,0,0
3,23,83,7,4.67,0.01031,0.62,0.333,98.29,26.397,2.85e-05,-2.03,28.04,57.66426
3,23,83,8,5.2,0.0258,0.66,0.333,98.3,28.173,2.85e-05,3.13,69.6,143.1324
3,23,83,9,7.04,0.1334,0.67,0.36,98.35,28.52,2.85e-05,8.3,105.56,217.08414
3,23,83,10,6.16,0.04929,0.68,0.36,98.32,28.975,2.85e-05,12.17,133.55,274.645575
3,23,83,11,6.6,0.05522,0.76,0.36,98.33,29.688,2.85e-05,16.03,151.79,312.156135
3,23,83,12,7.66,0.10579,0.88,0.153,98.56,30.408,2.85e-05,19.9,198.53,408.276945
3,23,83,13,7.23,0.06632,1.06,0.153,98.4,31.806,2.85e-05,15.7,193.55,398.035575
3,23,83,14,7.43,0.07389,1.27,0.153,98.47,34.678,2.85e-05,11.5,174.59,359.044335
3,23,83,15,6.39,0,1.52,0.007,98.64,37.821,2.85e-05,7.3,341.73,702.767745
3,23,83,16,7.23,0.09762,1.46,0.007,98.58,39.015,2.85e-05,-8.43,240.87,495.349155
3,23,83,17,6.81,0.11037,1.38,0.007,98.6,38.861,2.85e-05,-24.17,120.89,248.610285
3,23,83,18,3.46,0,1.3,0,98.92,37.721,2.85e-05,-39.9,6.45,13.264425
3,23,83,19,5.39,0.09142,1.12,0,98.7,35.827,2.85e-05,-37.87,0,0
3,23,83,20,4.41,0.07125,0.95,0,98.8,33.496,2.85e-05,-35.83,0,0
3,23,83,21,2.88,0.0391,0.8,0.01,98.87,30.824,2.85e-05,-33.8,0,0
3,23,83,22,3.27,0.06304,0.77,0.01,98.91,29.614,2.85e-05,-31.9,0,0
3,23,83,23,3.08,0.05609,0.75,0.01,98.89,28.91,2.85e-05,-30,0,0
3,24,84,0,3.74,0.09705,0.77,0.027,98.67,28.063,2.84e-05,-28.1,0,0
3,24,84,1,3.18,0.05097,0.81,0.027,98.83,27.288,2.84e-05,-30.27,0,0
3,24,84,2,3.47,0.05332,0.92,0.027,98.76,26.636,2.84e-05,-32.43,0,0
3,24,84,3,5.55,0.16525,1.09,0.113,98.55,26.556,2.84e-05,-34.6,0,0
3,24,84,4,4.35,0.05446,1.22,0.113,98.64,28.415,2.84e-05,-35.33,0,0
3,24,84,5,4.96,0.05169,1.35,0.113,98.6,30.916,2.84e-05,-36.07,0,0
3,24,84,6,7.52,0.1809,1.48,0.02,98.59,32.766,2.84e-05,-36.8,0,0
3,24,84,7,6.2,0.04675,1.51,0.02,98.56,34.112,2.84e-05,-18.27,30.4,62.5176
3,24,84,8,6.86,0.05038,1.54,0.02,98.57,35.081,2.84e-05,0.27,72.76,149.63094
3,24,84,9,8.69,0.14618,1.54,0.047,98.57,35.916,2.84e-05,18.8,107.13,220.312845
3,24,84,10,7.91,0.06425,1.65,0.047,98.59,36.817,2.84e-05,17.13,135.02,277.66863
3,24,84,11,8.3,0.07024,1.76,0.047,98.58,37.893,2.84e-05,15.47,153.18,315.01467
3,24,84,12,8.57,0.06884,1.87,0.19,98.49,38.916,2.84e-05,13.8,371.9,764.81235
3,24,84,13,8.66,0.07399,1.95,0.19,98.55,39.811,2.84e-05,13.3,362.33,745.131645
3,24,84,14,8.62,0.07026,2.04,0.19,98.53,40.729,2.84e-05,12.8,327.13,672.742845
3,24,84,15,8.01,0.02497,2.12,0.497,98.4,41.578,2.84e-05,12.3,125.05,257.165325
3,24,84,16,8.39,0.06259,1.98,0.497,98.47,41.737,2.84e-05,1.53,88.54,182.08251
3,24,84,17,8.2,0.06076,1.84,0.497,98.44,41.328,2.84e-05,-9.23,45.22,92.99493
3,24,84,18,7.46,0.01976,1.69,0.103,98.55,40.396,2.84e-05,-20,7.23,14.868495
3,24,84,19,7.81,0.05072,1.45,0.103,98.43,39.033,2.84e-05,-20.43,0,0
3,24,84,20,7.63,0.04441,1.2,0.103,98.48,37.586,2.84e-05,-20.87,0,0
3,24,84,21,8.49,0.12661,0.94,0.457,98.31,35.348,2.84e-05,-21.3,0,0
3,24,84,22,7.83,0.04859,1.23,0.457,98.5,36.43,2.84e-05,-24.43,0,0
3,24,84,23,8.17,0.05431,1.5,0.457,98.42,37.388,2.84e-05,-27.57,0,0
3,25,85,0,8.85,0.09204,1.77,0.18,98,38.62,0.000229,-30.7,0,0
3,25,85,1,8.64,0.06373,2.03,0.18,98.24,40.471,0.000229,-28.8,0,0
3,25,85,2,8.76,0.06805,2.3,0.18,98.14,41.41,0.000229,-26.9,0,0
3,25,85,3,8.42,0.04287,2.57,0.253,97.72,40.896,0.000229,-25,0,0
3,25,85,4,8.73,0.0724,2.58,0.253,97.94,39.163,0.000229,-29.3,0,0
3,25,85,5,8.59,0.07052,2.63,0.253,97.84,36.916,0.000229,-33.6,0,0
3,25,85,6,8.56,0.07816,2.7,0.313,97.67,34.99,0.000229,-37.9,0,0
3,25,85,7,8.47,0.06771,2.72,0.313,97.71,34.106,0.000229,-35.53,31.81,65.417265
3,25,85,8,8.52,0.06817,2.74,0.313,97.69,34.197,0.000229,-33.17,73.29,150.720885
3,25,85,9,9.7,0.15663,2.77,0.43,97.83,34.697,0.000229,-30.8,134.36,276.31134
3,25,85,10,8.93,0.07335,2.6,0.43,97.71,35.196,0.000229,-21.27,168.7,346.93155
3,25,85,11,9.31,0.07942,2.52,0.43,97.76,36.266,0.000229,-11.73,190.96,392.70924
3,25,85,12,10.09,0.11978,2.53,0.007,97.88,38.066,0.000229,-2.2,582.69,1198.301985
3,25,85,13,9.83,0.12866,2.74,0.007,97.84,39.657,0.000229,-2.33,567.81,1167.701265
3,25,85,14,9.96,0.17356,2.95,0.007,97.86,40.676,0.000229,-2.47,513.03,1055.046195
3,25,85,15,6.43,0,3.17,0,98.11,41.436,0.000229,-2.6,217.69,447.679485
3,25,85,16,8.85,0.19576,3.03,0,97.93,41.703,0.000229,-31.3,155.1,318.96315
3,25,85,17,7.63,0.17992,2.89,0,98.01,41.852,0.000229,-60,80.54,165.63051
3,25,85,18,4.67,0.06161,2.75,0,98.42,42.064,0.000229,-88.7,11.77,24.205005
3,25,85,19,5.82,0.14651,2.67,0,98.18,42.477,0.000229,-92.57,0,0
3,25,85,20,5.23,0.12131,2.61,0,98.28,42.769,0.000229,-96.43,0,0
3,25,85,21,4.71,0.10193,2.56,0.007,98.43,42.778,0.000229,-100.3,0,0
3,25,85,22,4.68,0.09544,2.59,0.007,98.42,43.001,0.000229,-94.97,0,0
3,25,85,23,4.7,0.0913,2.62,0.007,98.43,43.382,0.000229,-89.63,0,0
3,26,86,0,4.6,0.07927,2.65,0.007,98.6,43.724,0.000338,-84.3,0,0
3,26,86,1,4.66,0.08265,2.58,0.007,98.47,43.783,0.000338,-81.93,0,0
3,26,86,2,4.62,0.07897,2.51,0.007,98.52,43.579,0.000338,-79.57,0,0
3,26,86,3,4.84,0.09078,2.45,0.03,98.57,43.155,0.000338,-77.2,0,0
3,26,86,4,4.68,0.07592,2.41,0.03,98.59,42.704,0.000338,-74.67,0,0
3,26,86,5,4.76,0.0756,2.37,0.03,98.58,42.296,0.000338,-72.13,0,0
3,26,86,6,6.52,0.18171,2.33,0.003,98.65,42.013,0.000338,-69.6,0.06,0.12339
3,26,86,7,5.39,0.08958,2.33,0.003,98.59,41.897,0.000338,-38.47,124.14,255.29391
3,26,86,8,5.95,0.10642,2.33,0.003,98.61,41.966,0.000338,-7.33,278.14,571.99491
3,26,86,9,7.3,0.18087,2.32,0.14,98.53,42.359,0.000338,23.8,340.24,699.70356
3,26,86,10,6.79,0.1366,2.26,0.14,98.62,42.923,0.000338,31.67,425.58,875.20527
3,26,86,11,7.05,0.14671,2.2,0.14,98.58,43.639,0.000338,39.53,481.12,989.42328
3,26,86,12,6.86,0.12986,2.14,1.427,98.07,44.412,0.000338,47.4,327.16,672.80454
3,26,86,13,7.2,0.12182,1.72,1.427,98.43,44.269,0.000338,32.4,318.45,654.892425
3,26,86,14,7.05,0.08794,1.29,1.427,98.27,43.274,0.000338,17.4,288.01,592.292565
3,26,86,15,5.05,0,0.84,0.727,98.06,40.955,0.000338,2.4,120.71,248.240115
3,26,86,16,6.26,0.05254,0.99,0.727,98.07,39.976,0.000338,-6.79,86.33,177.537645
3,26,86,17,5.65,0.06404,1.3,0.727,98.06,38.271,0.000338,-15.97,45.52,93.61188
3,26,86,18,3.4,0,1.69,0.013,98.34,35.413,0.000338,-25.16,15.69,32.266485
3,26,86,19,4.48,0.07583,1.75,0.013,98.12,34.362,0.000338,-36.29,0,0
3,26,86,20,3.93,0.07156,1.85,0.013,98.22,35.147,0.000338,-47.43,0,0
3,26,86,21,2.97,0.04426,1.99,0.087,98.51,36.454,0.000338,-58.56,0,0
3,26,86,22,3.24,0.06592,2.01,0.087,98.38,36.765,0.000338,-58.54,0,0
3,26,86,23,3.1,0.06373,2.04,0.087,98.43,36.144,0.000338,-58.52,0,0
3,27,87,0,3.4,0.08354,2.07,0.007,98.82,35.424,0.00044,-58.5,0,0
3,27,87,1,3.09,0.06173,2.08,0.007,98.58,35.038,0.00044,-59.5,0,0
3,27,87,2,3.23,0.06248,2.09,0.007,98.68,35.84,0.00044,-60.5,0,0
3,27,87,3,3.14,0.04844,2.1,0.003,99.08,37.936,0.00044,-61.5,0,0
3,27,87,4,3.29,0.06505,2.12,0.003,98.88,39.593,0.00044,-63,0,0
3,27,87,5,3.2,0.06671,2.15,0.003,98.96,39.504,0.00044,-64.5,0,0
3,27,87,6,4.67,0.15518,2.18,0.01,99.31,38.872,0.00044,-66,0.44,0.90486
3,27,87,7,3.63,0.07529,2.26,0.01,99.13,38.696,0.00044,-32.93,137.64,283.05666
3,27,87,8,4.14,0.08645,2.34,0.01,99.21,38.801,0.00044,0.13,300.01,616.970565
3,27,87,9,6.04,0.18678,2.39,0.063,99.56,39.008,0.00044,33.2,432.85,890.156025
3,27,87,10,5.1,0.12757,2.44,0.063,99.37,39.334,0.00044,46.57,540.3,1111.12695
3,27,87,11,5.56,0.15434,2.49,0.063,99.45,39.509,0.00044,59.93,609.67,1253.786355
3,27,87,12,6.72,0.22726,2.53,0.17,99.73,39.5,0.00044,73.3,597.44,1228.63536
3,27,87,13,6.25,0.18657,2.51,0.17,99.6,39.222,0.00044,61.3,582.13,1197.150345
3,27,87,14,6.48,0.19117,2.49,0.17,99.65,38.938,0.00044,49.3,526.39,1082.521035
3,27,87,15,5.69,0.12853,2.46,0.077,99.82,38.601,0.00044,37.3,451.09,927.666585
3,27,87,16,6.37,0.18021,2.33,0.077,99.75,38.139,0.00044,8.27,323.54,665.36001
3,27,87,17,6.03,0.1662,2.19,0.077,99.78,37.598,0.00044,-20.77,172.17,354.067605
3,27,87,18,4.34,0.07206,2.03,0.007,100,37.045,0.00044,-49.8,18.97,39.011805
3,27,87,19,5.22,0.12685,1.94,0.007,99.86,36.944,0.00044,-52.4,0,0
3,27,87,20,4.77,0.10084,1.86,0.007,99.92,37.171,0.00044,-55,0,0
3,27,87,21,4.13,0.06539,1.78,0.007,100.06,37.481,0.00044,-57.6,0,0
3,27,87,22,4.26,0.07332,1.74,0.007,100.01,37.449,0.00044,-54.93,0,0
3,27,87,23,4.19,0.06891,1.7,0.007,100.03,37.017,0.00044,-52.27,0,0
3,28,88,0,4.4,0.08037,1.67,0.003,100.09,36.628,0.000515,-49.6,0,0
3,28,88,1,4.22,0.0636,1.61,0.003,100.07,36.433,0.000515,-49.07,0,0
3,28,88,2,4.31,0.06265,1.55,0.003,100.08,36.49,0.000515,-48.53,0,0
3,28,88,3,4.01,0.03965,1.49,0,100.05,36.673,0.000515,-48,0,0
3,28,88,4,4.27,0.06146,1.47,0,100.08,37.106,0.000515,-47.33,0,0
3,28,88,5,4.14,0.06079,1.44,0,100.07,37.551,0.000515,-46.67,0,0
3,28,88,6,6.67,0.2259,1.42,0.003,100.1,37.825,0.000515,-46,0.44,0.90486
3,28,88,7,4.89,0.07189,1.5,0.003,100.06,38.764,0.000515,-19.5,43.72,89.91018
3,28,88,8,5.78,0.09298,1.55,0.003,100.08,39.344,0.000515,7,93.06,191.37789
3,28,88,9,8.1,0.22197,1.57,0.127,100.1,39.506,0.000515,33.5,392.25,806.662125
3,28,88,10,7.15,0.144,1.59,0.127,100.1,39.579,0.000515,41.8,487.84,1003.24296
3,28,88,11,7.62,0.16914,1.61,0.127,100.1,40.01,0.000515,50.1,549.77,1130.602005
3,28,88,12,8.41,0.21834,1.63,0.097,100.18,40.509,0.000515,58.4,614.38,1263.47247
3,28,88,13,8.2,0.20937,1.61,0.097,100.12,40.65,0.000515,58.17,598.47,1230.753555
3,28,88,14,8.3,0.22334,1.58,0.097,100.14,40.469,0.000515,57.93,541.48,1113.55362
3,28,88,15,6.68,0.1148,1.56,0.02,100.08,40.042,0.000515,57.7,469.75,966.040875
3,28,88,16,7.84,0.22524,1.51,0.02,100.16,39.015,0.000515,30.13,338.08,695.26152
3,28,88,17,7.27,0.21218,1.44,0.02,100.12,37.614,0.000515,2.57,182.29,374.879385
3,28,88,18,4.86,0.08498,1.31,0.003,100.17,36.051,0.000515,-25,22.63,46.538595
3,28,88,19,6.07,0.16612,1.25,0.003,100.1,35.415,0.000515,-27.9,0,0
3,28,88,20,5.46,0.13393,1.17,0.003,100.13,35.034,0.000515,-30.8,0,0
3,28,88,21,3.26,0.01555,1.09,0,100.09,34.655,0.000515,-33.7,0,0
3,28,88,22,4.33,0.08786,1.04,0,100.15,34.493,0.000515,-33.27,0,0
3,28,88,23,3.8,0.07034,1,0,100.13,34.129,0.000515,-32.83,0,0
3,29,89,0,3.67,0.07759,0.97,0.007,100.05,33.231,0.000646,-32.4,0,0
3,29,89,1,3.4,0.05509,1.04,0.007,100.08,33.087,0.000646,-34.07,0,0
3,29,89,2,3.54,0.05555,1.1,0.007,100.07,33.491,0.000646,-35.73,0,0
3,29,89,3,3.72,0.05917,1.17,0,99.99,34.007,0.000646,-37.4,0,0
3,29,89,4,3.69,0.05688,1.22,0,100.04,34.417,0.000646,-39.5,0,0
3,29,89,5,3.71,0.05775,1.28,0,100.02,34.741,0.000646,-41.6,0,0
3,29,89,6,7.33,0.28714,1.33,0,99.97,34.928,0.000646,-43.7,1.01,2.077065
3,29,89,7,4.93,0.07933,1.48,0,99.99,36.53,0.000646,-4.2,46.62,95.87403
3,29,89,8,6.13,0.11817,1.55,0,99.98,38.107,0.000646,35.3,96.72,198.90468
3,29,89,9,9.67,0.34346,1.59,0,99.93,39.258,0.000646,74.8,305.66,628.58979
3,29,89,10,8.11,0.23179,1.73,0,99.96,40.606,0.000646,99.2,378.81,779.022765
3,29,89,11,8.89,0.3028,1.86,0,99.95,42.347,0.000646,123.6,426.19,876.459735
3,29,89,12,8.88,0.31459,2,0.003,99.98,44.08,0.000646,148,664.84,1367.24346
3,29,89,13,9.4,0.37134,1.97,0.003,99.94,45.115,0.000646,124.2,647.52,1331.62488
3,29,89,14,9.14,0.36587,1.95,0.003,99.96,45.779,0.000646,100.4,586.28,1205.68482
3,29,89,15,7.64,0.26896,1.92,0,99.96,46.168,0.000646,76.6,260.82,536.37633
3,29,89,16,8.47,0.32376,1.81,0,99.98,46.13,0.000646,41.23,188.58,387.81477
3,29,89,17,8.06,0.28667,1.69,0,99.97,45.615,0.000646,5.87,103.05,211.922325
3,29,89,18,5.58,0.11308,1.51,0,100.05,44.506,0.000646,-29.5,24.18,49.72617
3,29,89,19,6.95,0.21215,1.41,0,99.98,43.743,0.000646,-31.77,0,0
3,29,89,20,6.26,0.17512,1.3,0,100.01,42.698,0.000646,-34.03,0,0
3,29,89,21,4.32,0.06644,1.19,0,99.98,41.138,0.000646,-36.3,0,0
3,29,89,22,5.17,0.11724,1.18,0,100.03,39.854,0.000646,-37.53,0,0
3,29,89,23,4.75,0.0923,1.19,0,100.01,38.583,0.000646,-38.77,0,0
3,30,90,0,3.96,0.04733,1.19,0,99.93,37.018,0.000819,-40,0,0
3,30,90,1,4.2,0.06581,1.22,0,99.97,35.66,0.000819,-41.27,0,0
3,30,90,2,4.08,0.06359,1.24,0,99.95,35,0.000819,-42.53,0,0
3,30,90,3,3.66,0.045,1.26,0,99.81,34.568,0.000819,-43.8,0,0
3,30,90,4,3.87,0.06128,1.35,0,99.9,36.09,0.000819,-47.67,0,0
3,30,90,5,3.77,0.06085,1.43,0,99.86,37.826,0.000819,-51.53,0,0
3,30,90,6,5.43,0.16514,1.51,0,99.8,38.407,0.000819,-55.4,6.02,12.38013
3,30,90,7,4.25,0.08851,1.68,0,99.81,39.026,0.000819,-10.17,159.99,329.019435
3,30,90,8,4.84,0.12666,1.78,0,99.8,39.391,0.000819,35.07,323.9,666.10035
3,30,90,9,9.4,0.45124,1.85,0,99.76,40.057,0.000819,80.3,465.23,956.745495
3,30,90,10,6.76,0.22245,1.96,0,99.79,41.202,0.000819,115.03,574.66,1181.78829
3,30,90,11,8.08,0.28521,2.07,0,99.78,42.626,0.000819,149.77,645.43,1327.326795
3,30,90,12,10.95,0.48752,2.18,0,99.69,44.042,0.000819,184.5,673.02,1384.06563
